Regional totals	Autonomous Communities and Cities	Provinces	Guests and overnight stays	Residence: Nivel 1	Residence: Nivel 2	Periodo	Total
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2004M03	173.318
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2004M02	153.579
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2004M01	134.098
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2003M12	105.673
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2003M11	126.689
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2003M10	154.732
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2003M09	224.803
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2003M08	266.588
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2003M07	230.770
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2003M06	191.128
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2003M05	175.495
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2003M04	200.881
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2003M03	168.899
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2003M02	134.670
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2003M01	128.429
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2002M12	107.385
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2002M11	120.027
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2002M10	142.313
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2002M09	220.784
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2002M08	254.310
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2002M07	224.409
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2002M06	175.078
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2002M05	162.116
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2002M04	156.289
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2002M03	181.418
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2002M02	120.598
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2002M01	84.728
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2001M12	79.895
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2001M11	127.918
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2001M10	163.240
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2001M09	232.850
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2001M08	267.958
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2001M07	239.890
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2001M06	183.473
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2001M05	155.988
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2001M04	191.969
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2001M03	161.421
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2001M02	124.746
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2001M01	95.265
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2000M12	83.663
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2000M11	118.216
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2000M10	155.030
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2000M09	197.219
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2000M08	256.845
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2000M07	226.581
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2000M06	203.227
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2000M05	159.724
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2000M04	193.031
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2000M03	159.773
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2000M02	135.433
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2000M01	84.792
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	1999M12	79.652
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	1999M11	92.117
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	1999M10	145.190
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	1999M09	201.419
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	1999M08	253.656
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	1999M07	225.720
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	1999M06	183.844
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	1999M05	150.494
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	1999M04	178.298
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	1999M03	153.961
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	1999M02	112.017
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	1999M01	94.937
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2025M09	112.155
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2025M08	120.375
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2025M07	110.467
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2025M06	92.787
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2025M05	75.421
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2025M04	75.474
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2025M03	63.833
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2025M02	50.925
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2025M01	49.713
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2024M12	35.619
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2024M11	46.077
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2024M10	89.681
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2024M09	110.149
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2024M08	122.776
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2024M07	106.619
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2024M06	89.349
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2024M05	80.733
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2024M04	66.603
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2024M03	57.229
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2024M02	51.173
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2024M01	42.451
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2023M12	33.935
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2023M11	42.440
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2023M10	81.165
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2023M09	110.409
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2023M08	111.904
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2023M07	93.076
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2023M06	87.139
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2023M05	85.877
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2023M04	61.936
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2023M03	54.911
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2023M02	38.892
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2023M01	33.602
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2022M12	29.051
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2022M11	44.021
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2022M10	65.695
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2022M09	105.346
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2022M08	106.834
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2022M07	87.422
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2022M06	85.498
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2022M05	67.664
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2022M04	65.761
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2022M03	47.918
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2022M02	38.477
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2022M01	24.091
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2021M12	26.074
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2021M11	38.383
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2021M10	64.056
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2021M09	61.144
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2021M08	60.921
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2021M07	39.852
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2021M06	27.574
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2021M05	15.199
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2021M04	8.353
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2021M03	8.259
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2021M02	5.576
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2021M01	6.148
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2020M12	5.439
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2020M11	5.246
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2020M10	13.892
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2020M09	16.221
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2020M08	25.828
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2020M07	22.101
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2020M06	5.082
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2020M05	839
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2020M04	0
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2020M03	22.152
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2020M02	54.556
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2020M01	44.242
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2019M12	31.166
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2019M11	47.416
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2019M10	80.766
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2019M09	109.797
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2019M08	105.125
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2019M07	93.329
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2019M06	99.192
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2019M05	83.622
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2019M04	72.354
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2019M03	57.783
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2019M02	47.593
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2019M01	47.766
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2018M12	35.454
National Total	14 Murcia, Región de		Overnight stays	Total	Residents abroad	2018M11	47.802
