Provinces	Travellers and overnight stays	Residence	Periodo	Total
02 Albacete	Guests	Residents abroad	2015M09	4
02 Albacete	Guests	Residents abroad	2015M08	33
02 Albacete	Guests	Residents abroad	2015M07	21
02 Albacete	Guests	Residents abroad	2015M06	24
02 Albacete	Guests	Residents abroad	2015M05	21
02 Albacete	Guests	Residents abroad	2015M04	0
02 Albacete	Guests	Residents abroad	2015M03	0
02 Albacete	Guests	Residents abroad	2015M02	0
02 Albacete	Guests	Residents abroad	2015M01	0
02 Albacete	Guests	Residents abroad	2014M12	0
02 Albacete	Guests	Residents abroad	2014M11	0
02 Albacete	Guests	Residents abroad	2014M10	3
02 Albacete	Guests	Residents abroad	2014M09	0
02 Albacete	Guests	Residents abroad	2014M08	38
02 Albacete	Guests	Residents abroad	2014M07	0
02 Albacete	Guests	Residents abroad	2014M06	0
02 Albacete	Guests	Residents abroad	2014M05	4
02 Albacete	Guests	Residents abroad	2014M04	0
02 Albacete	Guests	Residents abroad	2014M03	0
02 Albacete	Guests	Residents abroad	2014M02	0
02 Albacete	Guests	Residents abroad	2014M01	0
02 Albacete	Guests	Residents abroad	2013M12	""
02 Albacete	Guests	Residents abroad	2013M11	""
02 Albacete	Guests	Residents abroad	2013M10	""
02 Albacete	Guests	Residents abroad	2013M09	""
02 Albacete	Guests	Residents abroad	2013M08	""
02 Albacete	Guests	Residents abroad	2013M07	""
02 Albacete	Guests	Residents abroad	2013M06	""
02 Albacete	Guests	Residents abroad	2013M05	""
02 Albacete	Guests	Residents abroad	2013M04	""
02 Albacete	Guests	Residents abroad	2013M03	""
02 Albacete	Guests	Residents abroad	2013M02	""
02 Albacete	Guests	Residents abroad	2013M01	""
02 Albacete	Guests	Residents abroad	2012M12	""
02 Albacete	Guests	Residents abroad	2012M11	""
02 Albacete	Guests	Residents abroad	2012M10	""
02 Albacete	Guests	Residents abroad	2012M09	""
02 Albacete	Guests	Residents abroad	2012M08	""
02 Albacete	Guests	Residents abroad	2012M07	""
02 Albacete	Guests	Residents abroad	2012M06	""
02 Albacete	Guests	Residents abroad	2012M05	""
02 Albacete	Guests	Residents abroad	2012M04	""
02 Albacete	Guests	Residents abroad	2012M03	""
02 Albacete	Guests	Residents abroad	2012M02	""
02 Albacete	Guests	Residents abroad	2012M01	""
02 Albacete	Guests	Residents abroad	2011M12	""
02 Albacete	Guests	Residents abroad	2011M11	""
02 Albacete	Guests	Residents abroad	2011M10	""
02 Albacete	Guests	Residents abroad	2011M09	""
02 Albacete	Guests	Residents abroad	2011M08	""
02 Albacete	Guests	Residents abroad	2011M07	""
02 Albacete	Guests	Residents abroad	2011M06	""
02 Albacete	Guests	Residents abroad	2011M05	""
02 Albacete	Guests	Residents abroad	2011M04	""
02 Albacete	Guests	Residents abroad	2011M03	""
02 Albacete	Guests	Residents abroad	2011M02	""
02 Albacete	Guests	Residents abroad	2011M01	""
02 Albacete	Guests	Residents abroad	2010M12	""
02 Albacete	Guests	Residents abroad	2010M11	""
02 Albacete	Guests	Residents abroad	2010M10	""
02 Albacete	Guests	Residents abroad	2010M09	""
02 Albacete	Guests	Residents abroad	2010M08	""
02 Albacete	Guests	Residents abroad	2010M07	""
02 Albacete	Guests	Residents abroad	2010M06	""
02 Albacete	Guests	Residents abroad	2010M05	""
02 Albacete	Guests	Residents abroad	2010M04	""
02 Albacete	Guests	Residents abroad	2010M03	""
02 Albacete	Guests	Residents abroad	2010M02	""
02 Albacete	Guests	Residents abroad	2010M01	""
02 Albacete	Guests	Residents abroad	2009M12	""
02 Albacete	Guests	Residents abroad	2009M11	""
02 Albacete	Guests	Residents abroad	2009M10	""
02 Albacete	Guests	Residents abroad	2009M09	""
02 Albacete	Guests	Residents abroad	2009M08	""
02 Albacete	Guests	Residents abroad	2009M07	""
02 Albacete	Guests	Residents abroad	2009M06	""
02 Albacete	Guests	Residents abroad	2009M05	""
02 Albacete	Guests	Residents abroad	2009M04	""
02 Albacete	Guests	Residents abroad	2009M03	""
02 Albacete	Guests	Residents abroad	2009M02	""
02 Albacete	Guests	Residents abroad	2009M01	""
02 Albacete	Guests	Residents abroad	2008M12	""
02 Albacete	Guests	Residents abroad	2008M11	""
02 Albacete	Guests	Residents abroad	2008M10	""
02 Albacete	Guests	Residents abroad	2008M09	""
02 Albacete	Guests	Residents abroad	2008M08	""
02 Albacete	Guests	Residents abroad	2008M07	""
02 Albacete	Guests	Residents abroad	2008M06	""
02 Albacete	Guests	Residents abroad	2008M05	""
02 Albacete	Guests	Residents abroad	2008M04	""
02 Albacete	Guests	Residents abroad	2008M03	""
02 Albacete	Guests	Residents abroad	2008M02	""
02 Albacete	Guests	Residents abroad	2008M01	""
02 Albacete	Guests	Residents abroad	2007M12	""
02 Albacete	Guests	Residents abroad	2007M11	""
02 Albacete	Guests	Residents abroad	2007M10	""
02 Albacete	Guests	Residents abroad	2007M09	""
02 Albacete	Guests	Residents abroad	2007M08	""
02 Albacete	Guests	Residents abroad	2007M07	""
02 Albacete	Guests	Residents abroad	2007M06	""
02 Albacete	Guests	Residents abroad	2007M05	""
02 Albacete	Guests	Residents abroad	2007M04	""
02 Albacete	Guests	Residents abroad	2007M03	""
02 Albacete	Guests	Residents abroad	2007M02	""
02 Albacete	Guests	Residents abroad	2007M01	""
02 Albacete	Guests	Residents abroad	2006M12	""
02 Albacete	Guests	Residents abroad	2006M11	""
02 Albacete	Guests	Residents abroad	2006M10	""
02 Albacete	Guests	Residents abroad	2006M09	""
02 Albacete	Guests	Residents abroad	2006M08	""
02 Albacete	Guests	Residents abroad	2006M07	""
02 Albacete	Guests	Residents abroad	2006M06	""
02 Albacete	Guests	Residents abroad	2006M05	""
02 Albacete	Guests	Residents abroad	2006M04	""
02 Albacete	Guests	Residents abroad	2006M03	""
02 Albacete	Guests	Residents abroad	2006M02	""
02 Albacete	Guests	Residents abroad	2006M01	""
02 Albacete	Guests	Residents abroad	2005M12	""
02 Albacete	Guests	Residents abroad	2005M11	""
02 Albacete	Guests	Residents abroad	2005M10	""
02 Albacete	Guests	Residents abroad	2005M09	""
02 Albacete	Guests	Residents abroad	2005M08	""
02 Albacete	Guests	Residents abroad	2005M07	""
02 Albacete	Guests	Residents abroad	2005M06	""
02 Albacete	Guests	Residents abroad	2005M05	""
02 Albacete	Guests	Residents abroad	2005M04	""
02 Albacete	Guests	Residents abroad	2005M03	""
02 Albacete	Guests	Residents abroad	2005M02	""
02 Albacete	Guests	Residents abroad	2005M01	""
02 Albacete	Overnight stays	Residents in Spain	2025M08	7.002
02 Albacete	Overnight stays	Residents in Spain	2025M07	4.737
02 Albacete	Overnight stays	Residents in Spain	2025M06	13.422
02 Albacete	Overnight stays	Residents in Spain	2025M05	3.304
02 Albacete	Overnight stays	Residents in Spain	2025M04	4.429
02 Albacete	Overnight stays	Residents in Spain	2025M03	2.129
02 Albacete	Overnight stays	Residents in Spain	2025M02	1.480
02 Albacete	Overnight stays	Residents in Spain	2025M01	1.207
02 Albacete	Overnight stays	Residents in Spain	2024M12	2.537
02 Albacete	Overnight stays	Residents in Spain	2024M11	1.870
02 Albacete	Overnight stays	Residents in Spain	2024M10	13.686
02 Albacete	Overnight stays	Residents in Spain	2024M09	3.110
02 Albacete	Overnight stays	Residents in Spain	2024M08	7.779
02 Albacete	Overnight stays	Residents in Spain	2024M07	13.636
02 Albacete	Overnight stays	Residents in Spain	2024M06	4.603
02 Albacete	Overnight stays	Residents in Spain	2024M05	3.747
02 Albacete	Overnight stays	Residents in Spain	2024M04	3.002
02 Albacete	Overnight stays	Residents in Spain	2024M03	3.867
02 Albacete	Overnight stays	Residents in Spain	2024M02	1.543
